address,bikes,category,division,latitud,longitud,sub_category
Carrer dels Enamorats 49,12,bicing,mobilidad,41.404027,2.181264,bicing
Ribes 77,14,bicing,mobilidad,41.400167,2.184362,bicing
Av. Paral.lel 132,23,bicing,mobilidad,41.375073,2.161305,bicing
Passeig de Gràcia 89,0,bicing,mobilidad,41.395,2.16123,bicing
World Trade Center nan,0,bicing,mobilidad,41.372154,2.180701,bicing
World Trade Center nan,0,bicing,mobilidad,41.371663,2.180302,bicing
Pl. Ictíneo nan,14,bicing,mobilidad,41.37747,2.183737,bicing
Pl.Joaquim Xira i Palau 1,15,bicing,mobilidad,41.378516,2.176716,bicing
Pl. Sant Miquel 4,12,bicing,mobilidad,41.381709,2.177308,bicing
Duran i Bas 2,21,bicing,mobilidad,41.385463,2.174252,bicing
Agustí Duran i Sanpere 10,12,bicing,mobilidad,41.381686,2.167816,bicing
Lope de Vega 79,26,bicing,mobilidad,41.403938,2.204188,bicing
Vilamarí 85,17,bicing,mobilidad,41.380708,2.146793,bicing
Casanova 119,3,bicing,mobilidad,41.387978,2.155266,bicing
Av.Paral.lel 164,25,bicing,mobilidad,41.375086,2.156848,bicing
Nàpols 125,19,bicing,mobilidad,41.395796,2.178784,bicing
Riera Alta 6,17,bicing,mobilidad,41.380593,2.167418,bicing
Recinte Parc de la Ciutadella nan,24,bicing,mobilidad,41.38739,2.1875,bicing
Comerç 36,20,bicing,mobilidad,41.386955,2.18195,bicing
Sagrera 74,16,bicing,mobilidad,41.422873,2.191204,bicing
